"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari",480,"Arthropoda","Arachnida",,,,480,"Arthropoda","Arachnida",,,,"exact","exact",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Chironomidae",480,"Arthropoda","Arachnida",,,,6192,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Diptera",480,"Arthropoda","Arachnida",,,,384,,,,,,"exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Skwala",480,"Arthropoda","Arachnida",,,,112,"Arthropoda","Insecta","Plecoptera","Perlodidae","Skwala","exact","family",8,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Alloperla","Alloperla",16,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Alloperla",16,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Alloperla","family","family",4,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Alloperla","Chironomidae",16,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Alloperla",6192,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",5,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Alloperla","Rhyacophila",16,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Alloperla",48,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Alloperla","Skwala",16,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Alloperla",112,"Arthropoda","Insecta","Plecoptera","Perlodidae","Skwala","family","family",11,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Alloperla",144,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",16,"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Alloperla","exact","family",17,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Chironomidae",144,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",6192,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",10,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Limnephilidae",144,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",16,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus","exact","family",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Oligochaeta",144,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",288,"Annelida","Clitellata",,,,"exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Rhyacophila",144,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",48,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",4,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Skwala",144,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",112,"Arthropoda","Insecta","Plecoptera","Perlodidae","Skwala","exact","family",335,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
