"resource","consumer","res.taxonomic_name","res.m","res.network","res.o.net","res.site","res.n","res.phylum","res.class","res.order","res.family","res.genus","res.resolved.to","con.taxonomic_name","con.m","con.network","con.o.net","con.site","con.n","con.phylum","con.class","con.order","con.family","con.genus","con.resolved.to","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari","Acari",0.1,"LO.KERN","KERN","10052",200,"Arthropoda","Arachnida",,,,"Class","Acari",0.1,"LO.KERN","KERN","10052",200,"Arthropoda","Arachnida",,,,"Class","exact","exact",16,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Acari","Chironomidae","Acari",0.1,"LO.KERN","KERN","10052",200,"Arthropoda","Arachnida",,,,"Class","Chironomidae",0.95630662,"LO.KERN","KERN","10052",526,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","family",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Chironomidae","Baetis",0.712555345,"LO.KERN","KERN","10052",10,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Chironomidae",0.95630662,"LO.KERN","KERN","10052",526,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","family",10,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Dicosmoecus","Baetis",0.712555345,"LO.KERN","KERN","10052",10,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Dicosmoecus",7.071423253,"LO.KERN","KERN","10052",2,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus","Genus","exact","family",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Dicranota","Baetis",0.712555345,"LO.KERN","KERN","10052",10,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Dicranota",0.456662436,"LO.KERN","KERN","10052",2,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","Genus","exact","family",6,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Oligochaeta","Baetis",0.712555345,"LO.KERN","KERN","10052",10,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Oligochaeta",0.506640431,"LO.KERN","KERN","10052",50,"Annelida","Clitellata",,,,"Subclass","exact","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Psychoglypha","Baetis",0.712555345,"LO.KERN","KERN","10052",10,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Psychoglypha",10.61210978,"LO.KERN","KERN","10052",2,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Genus","exact","family",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Baetis","Turbellaria","Baetis",0.712555345,"LO.KERN","KERN","10052",10,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus","Turbellaria",0.030679362,"LO.KERN","KERN","10052",2,"Platyhelminthes","Turbellaria",,,,"Class","family","exact",1,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Bezzia","Chironomidae","Bezzia",0.162619632,"LO.KERN","KERN","10052",44,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia","Genus","Chironomidae",0.95630662,"LO.KERN","KERN","10052",526,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","family",9,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
"Bezzia","Dicranota","Bezzia",0.162619632,"LO.KERN","KERN","10052",44,"Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia","Genus","Dicranota",0.456662436,"LO.KERN","KERN","10052",2,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","Genus","family","exact",2,"Proctor, H., & Pritchard, G. (1989). Neglected Predators : Water Mites (Acari: Parasitengona: Hydrachnellae) in Freshwater Communities. Journal of the North American Benthological Society, 8(1), 100�111.",""
