"node","Taxonomic_name","M","Network","O.NET","Site","N","phylum","class","order","family","genus","Resolved.to"
"Acari","Acari",0.1,"UP.KERN","KERN","10031",576,"Arthropoda","Arachnida",,,,"Class"
"Agabus","Agabus",7.651273071,"UP.KERN","KERN","10031",4,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Agabus","Genus"
"Ameletus","Ameletus",9.08748113,"UP.KERN","KERN","10031",8,"Arthropoda","Insecta","Ephemeroptera","Ameletidae","Ameletus","Genus"
"Baetis","Baetis",0.712555345,"UP.KERN","KERN","10031",96,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Genus"
"Chironomidae","Chironomidae",0.95630662,"UP.KERN","KERN","10031",1152,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family"
"Dicranota","Dicranota",0.456662436,"UP.KERN","KERN","10031",4,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","Genus"
"Ironodes","Ironodes",5.59637151,"UP.KERN","KERN","10031",4,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes","Genus"
"Limnophora","Limnophora",0.83633613,"UP.KERN","KERN","10031",24,"Arthropoda","Insecta","Diptera","Muscidae","Limnophora","Genus"
"Oligochaeta","Oligochaeta",0.506640431,"UP.KERN","KERN","10031",404,"Annelida","Clitellata",,,,"Subclass"
"Ostracoda","Ostracoda",0.014,"UP.KERN","KERN","10031",16,"Arthropoda","Ostracoda",,,,"Class"
"Psychoglypha","Psychoglypha",10.61210978,"UP.KERN","KERN","10031",4,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Psychoglypha","Genus"
"Sanfilippodytes","Sanfilippodytes",0.66911638,"UP.KERN","KERN","10031",24,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","Genus"
"Simulium","Simulium",0.357951466,"UP.KERN","KERN","10031",260,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","Genus"
"Benthic.producers","Benthic.producers",0.001,"LO.KERN","KERN","10031",1,,,,"Benthic.producers",,"Family"
"Pelagic.producers","Pelagic.producers",0.001,"LO.KERN","KERN","10031",1,,,,"Pelagic.producers",,"Family"
