"resource","consumer","res.taxonomic_name","res.m","res.network","res.o.net","res.site","res.n","res.phylum","res.class","res.order","res.family","res.genus","res.resolved.to","con.taxonomic_name","con.m","con.network","con.o.net","con.site","con.n","con.phylum","con.class","con.order","con.family","con.genus","con.resolved.to","res.method","con.method","N.records","linkevidence","source.id"
"Acari","Acari","Acari",0.1,"UP.KERN","KERN","10029",428,"Arthropoda","Arachnida",,,,"Class","Acari",0.1,"UP.KERN","KERN","10029",428,"Arthropoda","Arachnida",,,,"Class","exact","exact",16,"source","Matthew D Green"
"Acari","Chironomidae","Acari",0.1,"UP.KERN","KERN","10029",428,"Arthropoda","Arachnida",,,,"Class","Chironomidae",0.95630662,"UP.KERN","KERN","10029",642,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","family",1,"source","Matthew D Green"
"Acari","Oreodytes","Acari",0.1,"UP.KERN","KERN","10029",428,"Arthropoda","Arachnida",,,,"Class","Oreodytes",2.487221922,"UP.KERN","KERN","10029",8,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","Genus","exact","family",16,"source","Matthew D Green"
"Acari","Sanfilippodytes","Acari",0.1,"UP.KERN","KERN","10029",428,"Arthropoda","Arachnida",,,,"Class","Sanfilippodytes",0.66911638,"UP.KERN","KERN","10029",12,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","Genus","exact","family",16,"source","Matthew D Green"
"Chironomidae","Acari","Chironomidae",0.95630662,"UP.KERN","KERN","10029",642,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","Acari",0.1,"UP.KERN","KERN","10029",428,"Arthropoda","Arachnida",,,,"Class","exact","exact",1,"source","Matthew D Green"
"Chironomidae","Chironomidae","Chironomidae",0.95630662,"UP.KERN","KERN","10029",642,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","Chironomidae",0.95630662,"UP.KERN","KERN","10029",642,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","exact",1,"source","Matthew D Green"
"Chironomidae","Oligochaeta","Chironomidae",0.95630662,"UP.KERN","KERN","10029",642,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","Oligochaeta",0.506640431,"UP.KERN","KERN","10029",112,"Annelida","Clitellata",,,,"Subclass","family","exact",21,"source","Matthew D Green"
"Chironomidae","Oreodytes","Chironomidae",0.95630662,"UP.KERN","KERN","10029",642,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","Oreodytes",2.487221922,"UP.KERN","KERN","10029",8,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","Genus","exact","genus",3,"source","Matthew D Green"
"Chironomidae","Sanfilippodytes","Chironomidae",0.95630662,"UP.KERN","KERN","10029",642,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","Sanfilippodytes",0.66911638,"UP.KERN","KERN","10029",12,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","Genus","exact","family",62,"source","Matthew D Green"
"Oligochaeta","Acari","Oligochaeta",0.506640431,"UP.KERN","KERN","10029",112,"Annelida","Clitellata",,,,"Subclass","Acari",0.1,"UP.KERN","KERN","10029",428,"Arthropoda","Arachnida",,,,"Class","exact","exact",2,"source","Matthew D Green"
"Oligochaeta","Chironomidae","Oligochaeta",0.506640431,"UP.KERN","KERN","10029",112,"Annelida","Clitellata",,,,"Subclass","Chironomidae",0.95630662,"UP.KERN","KERN","10029",642,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","exact",1,"source","Matthew D Green"
"Oligochaeta","Oligochaeta","Oligochaeta",0.506640431,"UP.KERN","KERN","10029",112,"Annelida","Clitellata",,,,"Subclass","Oligochaeta",0.506640431,"UP.KERN","KERN","10029",112,"Annelida","Clitellata",,,,"Subclass","exact","exact",2,"source","Matthew D Green"
"Oligochaeta","Oreodytes","Oligochaeta",0.506640431,"UP.KERN","KERN","10029",112,"Annelida","Clitellata",,,,"Subclass","Oreodytes",2.487221922,"UP.KERN","KERN","10029",8,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","Genus","exact","family",17,"source","Matthew D Green"
"Oligochaeta","Sanfilippodytes","Oligochaeta",0.506640431,"UP.KERN","KERN","10029",112,"Annelida","Clitellata",,,,"Subclass","Sanfilippodytes",0.66911638,"UP.KERN","KERN","10029",12,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","Genus","exact","family",17,"source","Matthew D Green"
"Oreodytes","Oreodytes","Oreodytes",2.487221922,"UP.KERN","KERN","10029",8,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","Genus","Oreodytes",2.487221922,"UP.KERN","KERN","10029",8,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","Genus","family","family",190,"source","Matthew D Green"
"Oreodytes","Sanfilippodytes","Oreodytes",2.487221922,"UP.KERN","KERN","10029",8,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","Genus","Sanfilippodytes",0.66911638,"UP.KERN","KERN","10029",12,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","Genus","family","family",190,"source","Matthew D Green"
"Ostracoda","Acari","Ostracoda",0.014,"UP.KERN","KERN","10029",24,"Arthropoda","Ostracoda",,,,"Class","Acari",0.1,"UP.KERN","KERN","10029",428,"Arthropoda","Arachnida",,,,"Class","exact","exact",1,"source","Matthew D Green"
"Ostracoda","Chironomidae","Ostracoda",0.014,"UP.KERN","KERN","10029",24,"Arthropoda","Ostracoda",,,,"Class","Chironomidae",0.95630662,"UP.KERN","KERN","10029",642,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","exact",1,"source","Matthew D Green"
"Ostracoda","Oreodytes","Ostracoda",0.014,"UP.KERN","KERN","10029",24,"Arthropoda","Ostracoda",,,,"Class","Oreodytes",2.487221922,"UP.KERN","KERN","10029",8,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","Genus","exact","family",3,"source","Matthew D Green"
"Ostracoda","Ostracoda","Ostracoda",0.014,"UP.KERN","KERN","10029",24,"Arthropoda","Ostracoda",,,,"Class","Ostracoda",0.014,"UP.KERN","KERN","10029",24,"Arthropoda","Ostracoda",,,,"Class","exact","exact",4,"source","Matthew D Green"
"Ostracoda","Sanfilippodytes","Ostracoda",0.014,"UP.KERN","KERN","10029",24,"Arthropoda","Ostracoda",,,,"Class","Sanfilippodytes",0.66911638,"UP.KERN","KERN","10029",12,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","Genus","exact","family",3,"source","Matthew D Green"
"Ostracoda","Turbellaria","Ostracoda",0.014,"UP.KERN","KERN","10029",24,"Arthropoda","Ostracoda",,,,"Class","Turbellaria",0.030679362,"UP.KERN","KERN","10029",30,"Platyhelminthes","Turbellaria",,,,"Class","exact","exact",4,"source","Matthew D Green"
"Sanfilippodytes","Oreodytes","Sanfilippodytes",0.66911638,"UP.KERN","KERN","10029",12,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","Genus","Oreodytes",2.487221922,"UP.KERN","KERN","10029",8,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","Genus","family","family",190,"source","Matthew D Green"
"Sanfilippodytes","Sanfilippodytes","Sanfilippodytes",0.66911638,"UP.KERN","KERN","10029",12,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","Genus","Sanfilippodytes",0.66911638,"UP.KERN","KERN","10029",12,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","Genus","family","family",190,"source","Matthew D Green"
"Turbellaria","Chironomidae","Turbellaria",0.030679362,"UP.KERN","KERN","10029",30,"Platyhelminthes","Turbellaria",,,,"Class","Chironomidae",0.95630662,"UP.KERN","KERN","10029",642,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","exact",1,"source","Matthew D Green"
"Turbellaria","Oreodytes","Turbellaria",0.030679362,"UP.KERN","KERN","10029",30,"Platyhelminthes","Turbellaria",,,,"Class","Oreodytes",2.487221922,"UP.KERN","KERN","10029",8,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Oreodytes","Genus","exact","family",6,"source","Matthew D Green"
"Turbellaria","Sanfilippodytes","Turbellaria",0.030679362,"UP.KERN","KERN","10029",30,"Platyhelminthes","Turbellaria",,,,"Class","Sanfilippodytes",0.66911638,"UP.KERN","KERN","10029",12,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","Genus","exact","family",6,"source","Matthew D Green"
"Benthic.producers","Chironomidae","Benthic.producers",0.001,"LO.KERN","KERN","10029",1,,,,"Benthic.producers",,"Family","Chironomidae",0.95630662,"UP.KERN","KERN","10029",642,"Arthropoda","Insecta","Diptera","Chironomidae",,"Family","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Oligochaeta","Benthic.producers",0.001,"LO.KERN","KERN","10029",1,,,,"Benthic.producers",,"Family","Oligochaeta",0.506640431,"UP.KERN","KERN","10029",112,"Annelida","Clitellata",,,,"Subclass","exact","exact",1,"source","Matthew D Green"
"Benthic.producers","Ostracoda","Benthic.producers",0.001,"LO.KERN","KERN","10029",1,,,,"Benthic.producers",,"Family","Ostracoda",0.014,"UP.KERN","KERN","10029",24,"Arthropoda","Ostracoda",,,,"Class","exact","exact",1,"source","Matthew D Green"
