"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Calineuria","Calineuria",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","order","order",29,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
"Calineuria","Chironomidae",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",436.5436544,"Arthropoda","Insecta","Diptera","Chironomidae",,"order","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
"Calineuria","Prosimulium",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",31.50315032,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","order","order",25,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
"Calineuria","Rhyacophila",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",4.500450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","order","exact",4,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
"Calineuria","Simulium",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria",108.0108011,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","order","order",25,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
"Chironomidae","Calineuria",436.5436544,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","exact","order",2,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
"Chironomidae","Chironomidae",436.5436544,"Arthropoda","Insecta","Diptera","Chironomidae",,436.5436544,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
"Chironomidae","Prosimulium",436.5436544,"Arthropoda","Insecta","Diptera","Chironomidae",,31.50315032,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","family",29,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
"Chironomidae","Rhyacophila",436.5436544,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",14,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
"Chironomidae","Simulium",436.5436544,"Arthropoda","Insecta","Diptera","Chironomidae",,108.0108011,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","family","exact",14,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
"Prosimulium","Calineuria",31.50315032,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",4.500450045,"Arthropoda","Insecta","Plecoptera","Perlidae","Calineuria","family","order",9,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
"Prosimulium","Chironomidae",31.50315032,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",436.5436544,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",9,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
"Prosimulium","Prosimulium",31.50315032,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",31.50315032,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","family","family",3,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
"Prosimulium","Rhyacophila",31.50315032,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",4.500450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","family","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
"Prosimulium","Simulium",31.50315032,"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium",108.0108011,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","family","exact",1,"observed - gut/stomach analysis,observed,observed - feeding trial,observed - gut/stomach analysis,source","2,13,15,47,50,63,Thompson and Townsend, 1999, 2004"
