"resource","consumer","res.density","res.phylum","res.class","res.order","res.family","res.genus","con.density","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Baetis","Chironomidae",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",4,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466ñ474.,https://mangal.io - the ecological interaction database.,Thompson and Townsend, 1999, 2004"
"Baetis","Helodon",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",27.00270027,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","exact","order",4,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466ñ474.,https://mangal.io - the ecological interaction database.,Thompson and Townsend, 1999, 2004"
"Baetis","Oligochaeta",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",22.50225023,"Annelida","Clitellata",,,,"exact","exact",1,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466ñ474.,https://mangal.io - the ecological interaction database.,Thompson and Townsend, 1999, 2004"
"Baetis","Rhyacophila",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",45.00450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","exact",1,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466ñ474.,https://mangal.io - the ecological interaction database.,Thompson and Townsend, 1999, 2004"
"Baetis","Simulium",4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis",4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","order",4,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466ñ474.,https://mangal.io - the ecological interaction database.,Thompson and Townsend, 1999, 2004"
"Chironomidae","Baetis",166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","exact","order",4,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466ñ474.,https://mangal.io - the ecological interaction database.,Thompson and Townsend, 1999, 2004"
"Chironomidae","Chironomidae",166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","family",1,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466ñ474.,https://mangal.io - the ecological interaction database.,Thompson and Townsend, 1999, 2004"
"Chironomidae","Helodon",166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,27.00270027,"Arthropoda","Insecta","Diptera","Simuliidae","Helodon","exact","family",1,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466ñ474.,https://mangal.io - the ecological interaction database.,Thompson and Townsend, 1999, 2004"
"Chironomidae","Rhyacophila",166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,45.00450045,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",3,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466ñ474.,https://mangal.io - the ecological interaction database.,Thompson and Townsend, 1999, 2004"
"Chironomidae","Simulium",166.5166517,"Arthropoda","Insecta","Diptera","Chironomidae",,4.500450045,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",1,"observed - gut/stomach analysis,source","63,Hogsden K.L. & Harding J.S. (2012) Anthropogenic and natural sources of acidity and metals and their influence on the structure of stream food webs. Environmental Pollution 162, 466ñ474.,https://mangal.io - the ecological interaction database.,Thompson and Townsend, 1999, 2004"
